Nof commentators,Average Comments/commentators,Average length of comment (in words),Median length of comment (in words),Nof comments positive,Nof comments neutral,Nof comments negative,Tendency to positive comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to positive comments,Tendency to neutral comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to neutral comments,Tendency to negative comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to negative comments
696,1.2658045977011494,156.11237230419977,119,66,273,542,0.014611097649624424,1627,0.2109280348921735,24039,0.21279379694693482,15604
Text,Sentiment,main reaction amount,reaction amount,reactions,author
Erfindet doch einfach einen neuen Begriff. Warum ein traditioneller Begriff wie Ehe benutzen der seit Jahrtausenden eine klare Bedeutung hat und die Lebensgemeinschaft von Frau und Mann bedeutet? Sowas ist kindisch und reine Zwängerei!!,['neutral'],LOVE IT,1 Leserin),1
@Begriff passt nicht Bin mir ziemlich sicher dass es allen LGBT-Menschen egal ist wie es heisst solange sie in der (kreative Bezeichnung für Homo-Ehe hier einfügen) die gleichen Rechte erhalten wie heterosexuelle Ehepaare.,['negative'],GENAU,17,33
@Begriff passt nicht Sag ich schon lange genau so ein Theater wie Vegi Burger. Die sollen einen eigenen Begriff suchen.,['positive'],QUATSCH,10,27
@Goht gar nöd um de Begriff Das Recht Kinder zu kriegen hängt aber leider von biologischen Faktoren ab. Da hilft einem eine sonstig diverse nicht-binäre Geschlechtsidentität wenig.,['negative'],LOVE IT,2,4
@Begriff passt nicht sich an so etwas nebensächlichem zu stören erscheint mir kindisch und eine reine Zwängerei. Jetzt fehlt nur noch dass Sie Toleranz für Ihre intolerante Haltung einfordern.,['positive'],QUATSCH,8,13
Ist doch sowas von egal ob Mann und Mann oder Frau und Frau oder Mann und Frau heiraten...jedem wie er möchte✌😍 wir leben im 2021,['positive'],SO NICHT,1 Leserin),1
@lesende - Es steht Ihnen frei mit allen zusammenzuleben wie Sie es wollen. Es geht ja hier nur um Juristisches und Geld.,['neutral'],GENAU,14,24
@lesende genau weil ich immer lese man sei im Jahr 2021 dass sei nur normal. Darum stimme ich bestimmt nein. Man darf bei diesem Thema fast keine andere meinung haben alls 1 ja.. Darum NEIN,['negative'],GENAU,33,72
@lesende das problem an der ganzen geschichte ist nicht das hier so breit getretene sondern das was nicht erwähnt wird. frauen kriegen zugang zur samenspende männern bleibt eine leihmutterschaft verwehrt. das adoptionstecht ist meines erachtens auch diskutabel ob das so eine gute idee ist. das sind die Interessanten und wichtigen punkte. wer wessen namen annehmen kann und dergleichen sind nicht die streitpunkte.,['negative'],GENAU,17,24
@aemmi88 bist du überhaupt schon 18? Darfst du überhaupt schon abstimmen? Den nur aus Prinzip jemandem die Gleichberechtigung zu nehmen ist schon sehr kindisch,['negative'],QUATSCH,5,7
@domin0 Versteh nicht wieso man darüber diskutieren muss finde ich alles akzeptable und nur aus dem einfachen Grund das jeder lieber ein zuhause hat mit Liebe und Zuneigung Mitgefühl und Geborgenheit und das kann man auch bei gleichgeschlechtlichen Eltern haben wirst du aber in einem Heim niemals so haben wie in einem richtigen zuhause und es stört mich so sehr das alle darüber diskutieren und ihre Meinung bilden ohne mit den jeweils wirklich betroffenen zu reden nämlich mit den Kindern die mit gleichgeschlechtlichen Eltern aufgewachsen sind denn das gibt es schon liebe Schweizer wir wären nicht das erste Land das dies erlaubt und mit den Kindern in den Heimen die auf eine Adoption warten.,['neutral'],GENAU,6,8
Die Ehe wie sie heute besteht sollte schon längst abgeschafft werden. Schliesslich ist jeder Mensch ein freies Individuum soll also zusammen sein mit wem er will wie er will solange er dies will. Besteuerung als Einzelperson ist das einzig Faire. Ist eine solide Basis da für Kind(er) soll auch dies für alle Paare möglich sein. Diese ganzen Eingriffe des Staates in unser Privatleben ist mir längst ein Dorn im Auge. An Scheidungen u.v.m. verdienen sich Richter und Staat eine goldene Nase. Natürlich würde dies bedingen dass man für seine jeweilige Lebenssituation die volle Eigenverantwortung trägt was leider viele verlernt haben. Deshalb haben wir ja diese Überregulierung in allen Lebensbereichen.,['neutral'],GENAU,1 Leserin),1
@masquerade und wieso muss sie deswegen abgeschafft werden? Wer nicht will muss ja nicht heiraten.,['neutral'],GENAU,26,31
"@Nicht notwendig @Nicht notwendig Damit alle Paare gleich gestellt sind und es keine Nachteile bzw. Vorteile für die eine Gruppe mehr gibt. Oder finden Sie es angebracht dass man als Partner der ""nur"" zusammen lebt kein Recht hat den anderen z. B. auf der Intensivstation zu besuchen als Partner mit amtlichem Fackel aber schon? Ist doch alles völlig daneben nur weil gewisse Kreise auf ewig ihr Bild von Männlein und Weiblein in trauter Zweisamkeit im Kopf haben und sich nichts anderes vorstellen können. Diese Diskussion schieben wir nun seit Jahrzehnten vor uns hin. Und wer eine Scheidung erlebt hat und all die staatlichen Bevormundungen kenn die es mit sich bringt wird mich verstehen.",['negative'],QUATSCH,11,22
Kann mir mal ein Gegner dieser Initiative erklären was sich mit dieser Initiative für IHN spezifisch ändern würde? Ich kriege das Gefühl das die Contras angst haben morgens selbst mit dem gleichen Geschlecht im Bett aufwachen zu müssen sobald es die Ehe für alle gibt... Oder wie sonst beeinflusst diese Initiative den Einzelnen Gegner? (Nicht andere Kinder sondern dich als NEIN-Stimmer selbst?),['neutral'],jetzt bewerten,0,0
@Schwulundenttäuscht Als Erwachsene haben wir eine Verantwortung gegenüber jenen welche nicht selbst stimmen können - sprich gegenüber den Kindern. Deshalb setzen sich die Gegner für diese ein.,['neutral'],QUATSCH,38,71
"Jene die hier mit ""So nicht"" oder ""Quatsch"" antworten könnten ja jetzt eben ihr Argument bringen? Oder wisst ihr selbst dass euer Argument keinen Sinn gibt?",['neutral'],SO NICHT,21,38
@Schwulundenttäuscht - Nehme Sie doch einfach die gesellschaftlichen Realitäten war. Und nehmen Sie es fair-demokratisch. Sonst droht noch Realitätsverlust. Kennen Sie ein fortschrittlicheres Land dazu als CH?,['neutral'],QUATSCH,30,35
"@hallohal 1.) Was haben Kinder mit dem Thema ""Ehe für alle"" zu tun? Es geht hier primär um die Ehe und 2.) selbst wenn es um Kinder gehen sollte von was muss man diese genau ""beschützen""? Kinder brauchen Liebe und warum wäre ein gutfunktionierendes gleichgeschlechtliches Paar schlechtere Eltern?",['neutral'],LOVE IT,38,59
@Bitte um Realitätssinn Sie haben die Frage nicht beantwortet was die Initiative bei Ihnen selbst ändern würde. Oder ist Ihnen nichts besseres eingefallen? Die LGBTQ-Community einfach wegzudenken und zu ignorieren bedeutet für mich eher Realitätsverlust. Andere fortschrittliche Länder gibts genügend. Öffnen Sie hierzu mal Google.,['negative'],GENAU,15,28
@Trauteuchdoch - Sind Ihnen die Argumente ausgegangen. Also quasi im Argumentsnotstand. Billige Dialektik aber auch.,['neutral'],QUATSCH,6,7
@Bitte um Realitätssinn fortschrittlich? Diese Initiative zeigt genau das Gegenteil,['neutral'],GENAU,5,11
@hallohal Naja holt euch dann mal die Erwachsenen die bei gleichgeschlechtlichen Eltern aufgewachsen sind und auch die die im Heim Aufgewachsen sind anstatt eure Meinung die nichts damit zu tun hat. Ihr habt keine Ahnung wie eins von beidem ist also solltet ihr nicht darüber bestimmen dürfen und es schlecht reden.,['negative'],UNNÖTIG,3,8
"@Kritisch und rational - ein Aufgeklärter Aufgrund dessen dass sie kein Fragezeichen setzen gehe ich davon aus dass dies eine Aussage über die Mundtoten die ""So Nichts"" und ""Quatsch"" voten ist.",['neutral'],UNNÖTIG,4,5
@Trauteuchdoch - Also auch noch pedantisch das wäre eine Feststellung. Und äusserst konservativ nur auf materielle Sicherheit aus.,['neutral'],GENAU,2,4
@Kritisch und rational - ein Aufgeklärter Haben Sie noch mehr so coole Fremdwörter und Fachbegriffe? Oder wollten Sie vielleicht auch noch was zum Thema bzw. der Frage sagen?,['neutral'],UNNÖTIG,4,6
@Kritisch und rational - ein Aufgeklärter Ich habe es 11 erlebt wie Kinder darauf reagieren. Er ist heute 40 und wahr nie in einer Beziehung die beiden Mütter habe da voll versagt. 2 Gründe aus eigener erfahrung,['neutral'],QUATSCH,16,19
@Rolf79 Mein Halbbruder hat seine erste Freundin mit 56 kennen gelernt. Seine Eltern sind mein Vater und seine Ex-Frau. Wie erklären Sie sich das?,['neutral'],GENAU,4,6
Spannend finde ich dass die Umwelt und Natur als immer wichtiger angesehen wird. Natürliche Vortpflanzungsprozesse (Mann + Frau) aber als altmodisch angesehen werden und einfach umgangen werden sollen.,['neutral'],jetzt bewerten,0,0
@interessant - Das entspricht eben der rotgrünen Ideologie. Systemwidersprüche dort immer inklusive.,['neutral'],GENAU,23,46
Ehe für alle können finanziell nur die etwa 70% wollen die zum mittleren Mittelstand oder abwärts gehören. - Aber auch diese Emotionen werden von der finanziellen Realität eingeholt! - Wenn dann die Steuerrechnungen kommen.,['neutral'],jetzt bewerten,0,0
"@Edi Schuldner Die Steuerrechnungen sind hier nicht das Thema. Das ist wie bei der Gleichberechtigung für Frauen. Immer heisst es ""Zuerst müssen sie aber auch Wehrpflicht haben"" dann können wir darüber reden. Sie lenken völlig vom eigentlichen Thema ab.",['neutral'],GENAU,18,24
Konservative Kreise und die „trendigen“ Freikirchen wie ICF interpretieren die Bibel frei nach ihrem Gusto ohne irgend eine wirkliche Grundlage dafür zu haben. Und sie glauben auch immer noch an die Ehe auf Lebzeiten... wie hoch ist die Scheidungsrate in der CH nochmals? Gleiches Recht für alle und zwar in allen Themen! Für eine menschenwürdige Schweiz!,['neutral'],jetzt bewerten,0,0
Die Scheidungsrate in der Schweiz liegt bei etwa 40% ich denke die Institution Ehe ist überholt,['neutral'],jetzt bewerten,0,0
"@grufti_ch - ""die Institution Ehe ist überholt""? Dies scheinen aber 60% der Verheirateten anders zu sehen.",['neutral'],GENAU,20,27
Die Ehe sollte nicht abgeschafft werden. Die Frage ist warum die Menschen nicht in der Lage sind sich wieder zu versöhnen. Jeder kann heiraten wenn er will. Doch es fragt niemand ob die Paare in der Lage sind ein Ehe zu führen. Für alles mögliche muss man eine Ausbildung machen und Prüfungen ablegen. Doch bei der Ehe geht man davon aus dass jeder weiss wie es funktioniert.,['neutral'],GENAU,11,14
Die Institution Ehe muss einfach modernisiert sein.Heiratet niemandem mehr für immer und ewig genau wie arbeitet niemand mehr für immer in gleicher Firma usw...,['neutral'],QUATSCH,9,20
@Neue Zeiten dann kann MannFrau es ja auch gleich sein lassen.,['neutral'],GENAU,5,11
@grufti_ch - überholt weil es ihnen persönlich nicht passt oder weil sie es selbst nicht fertigbringen eine beständige Partnerschaft zu leben? Wer hat hier wohl Defizite?,['negative'],QUATSCH,4,7
@Defizit Anscheinend du da du einen persönlichen Angriff fahren musst ^^ Wie kann man so sauer auf ne Statistik werden? Was löst da wohl eine rote Ampel aus? Ich nehms zurück das Unterstellen macht doch Spass. Oder doch nicht?,['negative'],SMART,2,2
@Tom - Bern Darum bin ich dagegen um die Heirats willigen zu schützen habe genug Scheidungen mitbekommen.,['neutral'],LOVE IT,2,3
